"Region","Antofagasta","Arica y Parinacota","Atacama","Aysén","Biobío","Coquimbo","Araucanía","O’Higgins","Los Lagos","Los Ríos","Magallanes","Maule","Metropolitana","Tarapacá","Valparaíso","Ñuble"
"26-Ago","13.3","24.9","22.8","1.6","13.2","15.7","3.6","8.8","8.1","1.8","50.1","8.5","6.4","14.3","8.2","10.0"
"27-Ago","13.9","23.5","22.6","1.5","14.0","15.5","3.3","8.3","7.4","2.0","56.7","8.0","6.2","13.8","8.4","10.2"
"28-Ago","12.6","22.6","22.4","2.0","14.0","16.0","3.0","8.5","7.7","2.0","54.0","7.8","6.2","12.2","8.6","11.6"
"29-Ago","13.0","21.0","21.2","2.9","15.3","14.3","2.9","9.1","7.7","1.8","56.1","7.8","6.0","12.8","9.1","12.3"
"30-Ago","13.7","22.0","21.3","2.9","14.8","12.3","3.0","9.2","7.9","1.4","55.2","8.0","6.2","11.8","9.4","12.8"
"31-Ago","12.2","21.2","18.7","2.9","14.8","12.3","3.2","8.7","7.8","1.9","54.6","8.0","6.2","11.3","9.6","13.4"
"01-Sep","12.2","22.2","17.7","2.4","14.8","11.6","3.2","8.9","8.0","2.1","56.1","8.0","6.1","10.7","10.1","13.0"
"02-Sep","11.8","21.0","19.0","1.9","14.9","11.5","3.4","8.8","8.3","2.1","61.9","7.8","6.3","11.0","10.5","11.8"
"03-Sep","11.6","22.0","17.9","1.9","14.2","11.3","4.0","9.4","8.4","2.7","59.4","8.2","6.4","10.9","10.3","11.7"
"04-Sep","11.5","21.5","16.5","1.3","14.6","10.7","4.3","9.5","7.7","2.9","63.4","9.3","6.4","10.9","10.2","11.7"
"05-Sep","11.1","21.2","14.8","0.9","13.5","11.4","4.4","9.6","8.0","3.2","71.4","9.4","6.5","10.0","10.0","10.6"
"06-Sep","10.7","20.9","13.9","1.5","14.1","11.5","4.5","9.6","8.5","3.5","74.2","9.6","6.4","9.9","9.8","11.6"
"07-Sep","11.2","20.6","13.4","1.3","13.7","10.9","4.7","9.8","8.5","3.5","83.1","10.7","6.4","9.3","9.3","10.6"
"08-Sep","11.3","19.7","12.7","1.3","13.6","10.8","4.8","9.9","8.2","3.6","82.3","10.8","6.3","9.6","8.9","10.8"
"09-Sep","11.0","20.1","13.2","1.3","13.7","10.1","5.2","9.6","7.7","4.4","76.9","11.2","6.4","9.7","8.2","10.9"
